Product,Price,Image URL
"Vitron 50"" Inch FRAMELESS BLUETOOTH INBUILT DECODER 4K UHD Android TV 1.5GBRAM,8GBROM","KSh 32,549",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/0215511/1.jpg?2251
"Tornado 32"" Inch Digital LED TV, HD Built-In Receiver","KSh 9,579",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/0378111/1.jpg?3209
TCL 43S68A 43'' Smart Android TVFrameless Full HD LED TV,"KSh 30,229",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/0698111/1.jpg?0725
"Skyworth 43"" 43E3A  FULL HD Frameless Smart Android TV - 43""","KSh 27,159",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/799296/1.jpg?2616
TCL 32S68A 32 Inch Frameless AI Smart Android LED TV,"KSh 18,199",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/5548111/1.jpg?9648
"Vision Plus VP8843SF - 43"" FHD Frameless Android OS Smart TV - Black","KSh 22,799",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/2998521/1.jpg?7469
"Tornado 43"" FHD LED Frameless Smart Android TV With Built-In Receiver","KSh 20,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/1378111/1.jpg?6631
Hifinit 32 Inch Frameless Android Smart HD LED TV - Black,"KSh 12,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/571713/1.jpg?3468
WEYON 32 Inch  Android Smart LED TV - Black,"KSh 13,490",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/621176/1.jpg?1810
Vision Plus VP8850KV -50? 4K Frameless V+ OS Smart TV +  3 Months Showmax Subscription,"KSh 33,399",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/1998521/1.jpg?7408
"TCL 50P635, 50? FRAMELESS 4K ULTRA HD GOOGLE TV, VOICE CONTROL","KSh 45,399",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/0698111/1.jpg?0725
"Vitron 5568US 55"" Inch FRAMELESS 4K UHD Android TV 1.5GBRAM 8GBROM","KSh 44,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/1876411/1.jpg?0672
Vision Plus VP8850KV -50? 4K Frameless V+ OS Smart TV +  3 Months Showmax Subscription,"KSh 34,599",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/783756/1.jpg?7284
Vision Plus VP8843KV - 43? 4K Frameless V+ OS Smart TV + 3 Months Showmax Subscription,"KSh 27,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/783756/1.jpg?7283
Fashion 4 In 1 Women's Plaid Bag-Brown,"KSh 1,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/723878/1.jpg?2238
Generic New Embroidery Waterproof Oxford Women Backpack - Black,"KSh 1,500",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/1423121/1.jpg?7433
Fashion Ladies Handbags Women Shoulder Sling Bag PU Leather Waterproof,"KSh 1,349",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/8131611/1.jpg?9574
Fashion Ladies Wallet Bags Women Crossbody Sling Bag PU Leather Waterproof-Black,KSh 799,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/3890611/1.jpg?4194
Fashion Ladies Shoulder Bags Women Crossbody Sling Bag Handbags Wallet PU Leather,"KSh 1,249",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/0421611/1.jpg?9574
Fashion Ladies Handbags Bags Women Crossbody Shoulder Sling Bag PU Waterphroof,"KSh 1,099",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/1390611/1.jpg?6428
Fashion 4 In 1 Ladies Handbags Women Shoulder Tote Bag Set Sling Bags PU Leather-Pink,"KSh 1,299",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/2313611/1.jpg?9573
Fashion Ladies Casual Fashion Oxford Shoulder Bag - Plaid,KSh 690,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/690829/1.jpg?2126
Fashion Women Handbags Crossbody Bags Messenger Girl Bag - Brown,KSh 990,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/409337/1.jpg?1274
Fashion Handbag 4 In 1 Women Bag Comfortable Texture With Bear Pendant,"KSh 1,399",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/502546/1.jpg?0873
Fashion 4 In 1 Set Women Bag Ladies Handbag Female Shoulder Bag Purse School Bag Travelling Bag,KSh 950,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/440354/1.jpg?0970
Fashion 3 In 1 Women Bag Ladies Handbag Sling Bag Purse,"KSh 1,199",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/138973/1.jpg?6984
Fashion 4 In 1 Women Bag Tote Crossbody Bag Handbag Different Capacity Combination Bag Set Wallet,KSh 799,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/365783/1.jpg?6977
Fashion 3 Pcs Ladies Handbag Women Bag Crossbody Bag Sling Wallet Shoulder Bag,"KSh 1,190",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/655643/1.jpg?6608
Fashion 4 Pcs Women Bag New Version Crossbody Bag Handbag Wallet,KSh 990,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/393985/1.jpg?2034
Annov Two-tier Stainless Steel Dish Rack PLUS 1SPOON  1FORK,"KSh 1,099",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/163795/1.jpg?7400
"Generic Portable Blender, Electric Fruit Mixer,USB Rechargeable-blue","KSh 1,069",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/196649/1.jpg?9259
Generic Digital Electronc Kitchen Weighing Scale,KSh 559,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/618685/1.jpg?2621
"Annov Blender & Grinder - 1.6L, 350W + 1Spoon 1Fork- Red","KSh 1,979",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/379095/1.jpg?3715
Annov 2 Burner Gas Cooker Stainless Steel+1.2 Meter Pipe,"KSh 2,199",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/103834/1.jpg?6732
Elegant Milk Tea Vacuum Flask Coffee Pot Stainless Steel Flask -2L,"KSh 1,240",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/770846/1.jpg?0840
Annov 7-Speed Portable Hand Mixer 1Spoon 1 Fork,KSh 799,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/829544/1.jpg?7773
"VON VAMS-20DGX Microwave Oven, Solo, 20L, Digital ?Äì Black","KSh 10,495",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/188361/1.jpg?2662
"Annov Two-tier Stainless Steel Dish Rack, Get 1SPOON, 1FORK","KSh 1,299",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/5850321/1.jpg?9428
Generic Digital Personal Exercise Bathroom Weighing Scale,"KSh 1,345",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/056216/1.jpg?8890
Nunix Auto Ignition Glass Top Infrared Gas Stove Double Burner-2 Burner,"KSh 3,600",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/864888/1.jpg?8328
Generic Pressure Cooker - Explosion Proof - 5 Litres - Silver,"KSh 2,898",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/622362/1.jpg?8147
Generic Knife Sharpeners Kitchen Sharpener  Three  Stages,KSh 460,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/4663201/1.jpg?5621
Nunix 6L ELECTRIC CHIPS DEEP FRYER,"KSh 4,627",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/736568/1.jpg?0085
Nunix Bread Slice Sandwich Maker & Toaster/dessert Maker,"KSh 1,599",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/960729/1.jpg?9624
Generic Bedding Set (2 Pillow Covers +1 Duvet Cover +1 Bed Sheet),"KSh 1,800",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/2763121/1.jpg?9253
Generic Bedding Set (2 Pillow Covers +1 Duvet Cover +1 Bed Sheet),"KSh 1,800",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/3763121/1.jpg?9311
"Generic Multicolor Duvet Blanket, Sheet, 2 Pillow Cases","KSh 1,749 - KSh 1,889",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/434843/1.jpg?6707
Generic Set Of 2 Bed Pillows (Pair- Pure Fibre Filled),KSh 749,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/724053/1.jpg?2506
Generic Mosquito Net With Metallic Stand,"KSh 1,266 - KSh 1,340",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/765506/1.jpg?5356
JIBAO Generic White & Blue Duvet Set With Star Print 1 Bedsheet 2 Pillowcases- Blanket Set,"KSh 1,989 - KSh 2,385",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/398926/1.jpg?2000
Generic Round Mosquito Net- Free Size,KSh 945,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/665506/1.jpg?5179
"Generic Mosquito Net With Metallic Stand- White- 4*6, 5*6, 6*6","KSh 1,499",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/888253/1.jpg?3910
Generic Mosquito Net Portable Foldable Anti-mosquito Tent Canopy With Bracket Bed Tent,"KSh 1,590 - KSh 1,750",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/7786511/1.jpg?2435
Superfoam Morning Glory Medium Density Quilted  - Brown & Beige,"KSh 4,305 - KSh 10,060",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/288687/1.jpg?5591
Generic Fluffy Fiber Pillows 4 Pieces In 1 Set -White 600grams,"KSh 1,515",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/984103/1.jpg?1730
Generic 5 By 6 Cream Mosquito Net With Portable Metallic Stand,"KSh 1,340",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/586074/1.jpg?9726
Generic Mosquito Net With Metallic Stand 4 By 6 - Purple,"KSh 1,330",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/443925/1.jpg?6472
Generic Waterproof Matress Protector And Cover,"KSh 2,200 - KSh 2,650",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/3019411/1.jpg?6531
Superfoam Morning Glory High Density Quilted - Brown Flower,"KSh 5,820 - KSh 13,550",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/515062/1.jpg?3532
Fashion Bracelet Flash Diamond Hand Decoration Simple Square Claw Chain Jewelry,KSh 555,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/8769121/1.jpg?2809
